epoch,rnn,transformer
1,651.8198616366861,70.96604274352455
2,363.7188370448134,6.253901337238193
3,173.58966393410103,3.689411712673776
4,59.04010422204109,3.0101761799076807
5,19.123903104421505,2.6931691149965187
6,7.867942075883221,2.504939576712782
7,4.419276669827856,2.38181642317976
8,3.0905096905970133,2.288897371603191
9,2.458436878854887,2.2174258860171547
10,2.1040167167162527,2.161771577485037
11,1.8818075992509111,2.1101960971767677
12,1.7323958897169756,2.0655900805297063
13,1.6263559161710814,2.0324750374341676
14,1.5456122034538178,2.0014859075878593
15,1.4848823290877917,1.9739924268222098
